"<HEADER software/>"
EwEVersion,"6.7.0.19005 (compiled 6/26/1943)"
Date,"11/20/2024 9:41:36 AM"
"<HEADER ecopath/>"
ModelName,"OSW high res model"
ModelSource,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman.eweaccdb"
"<HEADER ecosim/>"
EcosimScenario,"sim01_test run"
TimeSeries,-
StartYear,2020
"<HEADER ecospace/>"
EcospaceScenario,sp03_+ecoengineer
MapRows,60
MapCols,60
MapCellLength,0.5
MapCellSize,500
MapLatitude,0
MapLongitude,0
NoActiveCells,3600
EcoSpaceTimeStepLength,0.0833333358168602
CoordinateSystemWKT,"GEOGCS['WGS 84', DATUM['WGS_1984', SPHEROID['WGS 84',6378137,298.257223563, AUTHORITY['EPSG','7030']], AUTHORITY['EPSG','6326']], PRIMEM['Greenwich',0, AUTHORITY['EPSG','8901']], UNIT['degree',0.01745329251994328, AUTHORITY['EPSG','9122']], AUTHORITY['EPSG','4326']]"
ExternalDataConfigFile,"C:\Users\holden.harris\Documents\Research\R03 OSW\NCEAS GEI-Wind\EwEE Strawman Model\OSW strawman STconfig.xml"
"Layer 1 Biofouling complexity","Epifauna Complexity"
"<HEADER extra/>"
Data,"Average regional consumption by pred, prey (t/km^2)"
Area,"Region 0"
Number_of_cells,3600
"<HEADER end/>"

TimeStep,"big fish|medium fish","big fish|small fish","big fish|mobile inverts","medium fish|mobile inverts","medium fish|sessile epifauna","small fish|zooplankton","small fish|phytoplankton","small fish|macrolagae","mobile inverts|sessile epifauna","mobile inverts|macrolagae","mobile inverts|detritus","sessile epifauna|zooplankton","sessile epifauna|phytoplankton",zooplankton|phytoplankton
24,0.937799,0.985489,0.1884645,22.93838,2.090478,35.41883,6.013671,13.84967,78.46457,83.8184,49.29726,209.5005,208.5841,4516.665
25,0.9409714,0.9853433,0.1884195,22.93981,2.091321,35.41496,6.011526,13.84702,78.44312,83.8111,49.27852,209.5116,208.5599,4516.713
26,0.9442744,0.9850246,0.1883268,22.9397,2.0924,35.41125,6.00931,13.84443,78.42297,83.79964,49.25609,209.5259,208.54,4516.755
27,0.9474212,0.984543,0.1881881,22.93681,2.093617,35.40774,6.007055,13.84192,78.40414,83.78426,49.23017,209.5431,208.5242,4516.792
28,0.9506118,0.9839277,0.1880085,22.93208,2.095017,35.40446,6.004784,13.83952,78.38685,83.76524,49.20112,209.5629,208.5128,4516.821
29,0.953878,0.9831917,0.1877912,22.92586,2.096603,35.40146,6.002531,13.83725,78.37122,83.74294,49.16929,209.5851,208.5056,4516.84
30,0.9571957,0.9823461,0.187539,22.91832,2.098358,35.39876,6.000323,13.83514,78.35736,83.71768,49.13504,209.6094,208.5029,4516.854
31,0.9605554,0.9814004,0.1872545,22.90963,2.100269,35.39637,5.998182,13.83321,78.34531,83.68978,49.09871,209.6356,208.5043,4516.862
32,0.9639251,0.9803642,0.186941,22.8999,2.102316,35.3943,5.996137,13.83148,78.33508,83.65965,49.06068,209.6633,208.51,4516.86
33,0.9672769,0.9792466,0.1866012,22.88925,2.104478,35.39258,5.994211,13.82996,78.32667,83.62753,49.02133,209.6921,208.5196,4516.85
34,0.9705975,0.9780583,0.1862383,22.87784,2.106739,35.39119,5.992424,13.82866,78.32008,83.59383,48.98103,209.7216,208.5331,4516.832
35,0.9738548,0.9768087,0.1858556,22.86579,2.109076,35.39015,5.990794,13.8276,78.31527,83.55888,48.94015,209.7517,208.5503,4516.806
36,0.9770262,0.9755077,0.1854565,22.85324,2.11147,35.38944,5.989342,13.82679,78.3121,83.52307,48.89904,209.7818,208.5708,4516.771
37,0.9800697,0.9741652,0.1850445,22.8403,2.113895,35.38907,5.988084,13.82622,78.31056,83.48664,48.85811,209.8116,208.5944,4516.73
38,0.9829543,0.9727913,0.184623,22.82705,2.116328,35.38903,5.987029,13.82591,78.31055,83.45004,48.81769,209.8408,208.6209,4516.681
39,0.9856536,0.9713959,0.1841955,22.81365,2.118745,35.38931,5.986192,13.82585,78.31196,83.41348,48.77813,209.8689,208.6498,4516.624
40,0.9881628,0.9699895,0.1837654,22.80025,2.121131,35.38989,5.985577,13.82604,78.31467,83.37737,48.73973,209.8958,208.6811,4516.561
41,0.9904639,0.9685822,0.1833359,22.78697,2.123468,35.39075,5.985193,13.82647,78.31854,83.34195,48.70284,209.9211,208.7141,4516.49
42,0.9925305,0.967181,0.1829103,22.77395,2.125734,35.39191,5.985037,13.82714,78.32347,83.30753,48.66771,209.9443,208.7487,4516.415
43,0.9943588,0.9657966,0.1824913,22.7613,2.127915,35.39332,5.985116,13.82805,78.32932,83.27431,48.63458,209.9656,208.7844,4516.334
44,0.9959395,0.964437,0.1820819,22.74914,2.129995,35.39498,5.985423,13.82917,78.33594,83.24261,48.60368,209.9844,208.821,4516.25
45,0.9972392,0.9631102,0.1816846,22.73751,2.131953,35.39687,5.985957,13.8305,78.34316,83.21253,48.5752,210.0006,208.8579,4516.162
46,0.9982571,0.9618251,0.1813021,22.72649,2.133779,35.39898,5.98671,13.83201,78.35091,83.18433,48.54929,210.0141,208.8949,4516.071
47,0.9989865,0.9605892,0.1809364,22.71617,2.135459,35.40128,5.987672,13.83369,78.35898,83.1581,48.5261,210.0248,208.9318,4515.979
48,0.9994537,0.9594088,0.1805896,22.70667,2.13699,35.40377,5.988833,13.83554,78.36731,83.13406,48.50572,210.0326,208.9681,4515.884
49,0.9996554,0.9582903,0.1802635,22.698,2.138365,35.40643,5.99018,13.83751,78.37574,83.11221,48.4882,210.0375,209.0035,4515.791
50,0.9996211,0.9572386,0.1799593,22.69028,2.139581,35.40923,5.991697,13.83959,78.38409,83.09269,48.47358,210.0396,209.0378,4515.698
51,0.9993595,0.9562566,0.1796779,22.6835,2.140638,35.41216,5.993369,13.84178,78.39234,83.07549,48.46178,210.0388,209.0707,4515.606
52,0.9988754,0.9553473,0.1794199,22.67769,2.14153,35.41521,5.995179,13.84403,78.40033,83.06062,48.45284,210.0354,209.1021,4515.519
53,0.9981886,0.9545124,0.179186,22.67283,2.14226,35.41837,5.997105,13.84633,78.40799,83.04813,48.44664,210.0292,209.1315,4515.432
54,0.9973037,0.9537536,0.1789764,22.6689,2.142828,35.4216,5.999131,13.84866,78.41525,83.03792,48.44311,210.0207,209.1589,4515.351
55,0.9962335,0.953072,0.1787913,22.66586,2.143234,35.42492,6.001236,13.851,78.422,83.02995,48.44215,210.0101,209.1842,4515.275
56,0.9949934,0.9524673,0.1786306,22.66366,2.143483,35.42831,6.003397,13.85334,78.42826,83.02415,48.4436,209.9975,209.2072,4515.202
57,0.9936058,0.9519398,0.1784941,22.66228,2.143582,35.43172,6.005598,13.85563,78.43398,83.02046,48.44733,209.9832,209.2279,4515.138
58,0.9920931,0.9514888,0.1783813,22.66166,2.143538,35.43519,6.007813,13.85788,78.4391,83.01873,48.45319,209.9674,209.2462,4515.079
59,0.9904672,0.9511129,0.1782917,22.66171,2.143358,35.43867,6.010023,13.86006,78.44366,83.01889,48.46096,209.9505,209.262,4515.027
60,0.9887497,0.9508095,0.1782243,22.66241,2.143051,35.44217,6.012212,13.86216,78.44765,83.0208,48.47052,209.9327,209.2755,4514.982
61,0.9869567,0.9505766,0.1781785,22.66367,2.142628,35.44567,6.014356,13.86416,78.45113,83.02435,48.48163,209.9144,209.2864,4514.945
62,0.9851074,0.9504114,0.1781532,22.66542,2.142097,35.44915,6.016441,13.86605,78.45409,83.0294,48.49413,209.8958,209.2951,4514.916
63,0.9832155,0.9503105,0.1781476,22.66762,2.141468,35.4526,6.018448,13.86782,78.45659,83.03583,48.50784,209.8771,209.3015,4514.893
64,0.9812942,0.9502703,0.1781604,22.67017,2.140753,35.45603,6.020361,13.86944,78.45865,83.0435,48.52256,209.8586,209.3057,4514.88
65,0.9793564,0.9502879,0.1781908,22.67302,2.139959,35.45942,6.022166,13.87094,78.46037,83.05227,48.53811,209.8408,209.3078,4514.875
66,0.9777317,0.950359,0.1782374,22.67701,2.139171,35.46274,6.023851,13.87228,78.46179,83.06206,48.55436,209.8236,209.308,4514.874
67,0.9761567,0.9504606,0.1782961,22.68137,2.138344,35.466,6.025405,13.87347,78.4629,83.07259,48.57103,209.8072,209.3062,4514.884
68,0.9745877,0.9505867,0.1783648,22.68582,2.137477,35.46918,6.02682,13.87451,78.46375,83.08369,48.58792,209.792,209.3028,4514.898
69,0.9730244,0.9507364,0.1784425,22.69025,2.136577,35.47227,6.02809,13.87538,78.46432,83.09519,48.60484,209.7779,209.2977,4514.921
70,0.9714729,0.9509079,0.1785287,22.69457,2.135651,35.4753,6.029207,13.87611,78.46476,83.10699,48.62169,209.7654,209.2912,4514.949
71,0.9699403,0.9511008,0.1786223,22.69874,2.134706,35.47821,6.030171,13.87667,78.46505,83.11893,48.63831,209.7542,209.2835,4514.981
72,0.9684324,0.9513143,0.1787229,22.7027,2.133751,35.48105,6.030982,13.8771,78.46532,83.13097,48.65461,209.7447,209.2747,4515.02
73,0.9669558,0.951547,0.1788295,22.70643,2.132791,35.48376,6.031637,13.87739,78.46564,83.14302,48.67052,209.7367,209.265,4515.065
74,0.9655163,0.9517981,0.1789419,22.70992,2.131835,35.48639,6.03214,13.87753,78.46606,83.15501,48.68596,209.7306,209.2544,4515.112
75,0.9641185,0.9520668,0.1790592,22.71317,2.130886,35.48888,6.032498,13.87755,78.46661,83.16698,48.7009,209.726,209.2432,4515.163
76,0.9627685,0.952352,0.1791811,22.71619,2.129951,35.49125,6.032709,13.87745,78.4674,83.17879,48.71528,209.7231,209.2315,4515.215
77,0.9614707,0.9526525,0.1793069,22.71901,2.129036,35.49348,6.032786,13.87723,78.46848,83.19045,48.7291,209.7218,209.2195,4515.27
78,0.9602276,0.9529675,0.1794362,22.72164,2.128145,35.49559,6.032733,13.87691,78.46983,83.20199,48.74234,209.7219,209.2072,4515.326
79,0.9590419,0.9532954,0.1795685,22.72412,2.127279,35.49755,6.03256,13.8765,78.47148,83.21339,48.75501,209.7234,209.1946,4515.383
80,0.9579148,0.953635,0.1797033,22.72646,2.126442,35.49937,6.032275,13.87601,78.47346,83.2246,48.76708,209.7262,209.1821,4515.441
81,0.95685,0.9539849,0.17984,22.72872,2.125637,35.50103,6.031889,13.87543,78.47575,83.23565,48.77861,209.7302,209.1694,4515.497
82,0.9558488,0.9543442,0.1799782,22.73089,2.124864,35.50254,6.031411,13.87479,78.47833,83.24656,48.78959,209.7351,209.1568,4515.554
83,0.9549119,0.954711,0.1801174,22.73304,2.124127,35.50388,6.030854,13.87409,78.48119,83.2573,48.80005,209.7409,209.1444,4515.606
84,0.9540392,0.955085,0.1802571,22.73518,2.123423,35.50506,6.030227,13.87335,78.48425,83.26789,48.80994,209.7472,209.132,4515.659
85,0.9532301,0.9554635,0.1803967,22.73734,2.122754,35.50605,6.029542,13.87256,78.48753,83.27828,48.81937,209.7541,209.1198,4515.71
86,0.952484,0.9558455,0.1805356,22.73951,2.122119,35.50688,6.02881,13.87175,78.49097,83.28857,48.82832,209.7611,209.1078,4515.756
87,0.9518003,0.9562299,0.1806735,22.74172,2.121519,35.50754,6.028041,13.87091,78.49446,83.29865,48.83679,209.7685,209.096,4515.8
88,0.9511786,0.956615,0.1808097,22.744,2.120951,35.50802,6.027245,13.87006,78.49799,83.30856,48.84479,209.7757,209.0844,4515.842
89,0.950617,0.9569997,0.1809438,22.74632,2.120416,35.50834,6.026433,13.8692,78.5015,83.31825,48.85239,209.7827,209.0731,4515.878
90,0.9501156,0.9573823,0.1810752,22.7487,2.119913,35.50847,6.025615,13.86835,78.50486,83.32775,48.85956,209.7894,209.0619,4515.912
91,0.949672,0.9577621,0.1812035,22.75115,2.11944,35.50845,6.024799,13.86749,78.50809,83.33703,48.86628,209.7957,209.051,4515.944
92,0.9492831,0.9581368,0.1813282,22.75364,2.118995,35.50826,6.023992,13.86666,78.51109,83.34606,48.8726,209.8013,209.0404,4515.97
93,0.9489489,0.9585057,0.1814487,22.75616,2.118578,35.50791,6.023201,13.86584,78.5138,83.35481,48.87849,209.8064,209.03,4515.994
94,0.9486679,0.9588673,0.1815648,22.75872,2.118189,35.50741,6.022434,13.86504,78.5162,83.36327,48.88398,209.8106,209.0198,4516.013
95,0.9484376,0.95922,0.1816758,22.76128,2.117825,35.50677,6.021696,13.86426,78.51821,83.3714,48.88904,209.8141,209.0099,4516.029
96,0.9482566,0.9595624,0.1817813,22.76383,2.117486,35.506,6.020991,13.86352,78.51977,83.37917,48.89369,209.8167,209.0002,4516.043
97,0.9481226,0.959893,0.1818811,22.76637,2.117173,35.50509,6.020326,13.86281,78.5209,83.3866,48.89791,209.8185,208.9908,4516.053
98,0.9480351,0.9602106,0.1819746,22.76886,2.116884,35.50407,6.019699,13.86214,78.52156,83.39358,48.90169,209.8193,208.9817,4516.06
99,0.9479926,0.9605134,0.1820615,22.77129,2.116619,35.50294,6.019115,13.8615,78.52174,83.40016,48.90504,209.8194,208.9729,4516.064
100,0.9479941,0.9608003,0.1821416,22.77365,2.116378,35.50173,6.018575,13.8609,78.52136,83.40627,48.90796,209.8186,208.9644,4516.067
101,0.9480395,0.96107,0.1822145,22.77592,2.116162,35.50043,6.018084,13.86033,78.52052,83.41188,48.91042,209.8169,208.9562,4516.066
102,0.9481269,0.9613213,0.1822801,22.77807,2.115971,35.49906,6.017634,13.8598,78.51916,83.41701,48.91242,209.8146,208.9483,4516.065
103,0.9482539,0.9615529,0.1823379,22.78011,2.115805,35.49763,6.017232,13.85931,78.51727,83.4216,48.91396,209.8116,208.9408,4516.06
104,0.9484181,0.9617635,0.1823881,22.78199,2.115663,35.49615,6.016872,13.85886,78.51495,83.42565,48.91503,209.808,208.9337,4516.055
105,0.9486179,0.9619524,0.1824302,22.7837,2.115547,35.49466,6.016554,13.85844,78.51216,83.42911,48.9156,209.8038,208.927,4516.048
106,0.9488512,0.9621179,0.1824644,22.78525,2.115456,35.49313,6.016276,13.85807,78.50895,83.43202,48.91571,209.7993,208.9207,4516.04
107,0.94912,0.9622599,0.1824904,22.78661,2.115392,35.4916,6.016039,13.85772,78.50536,83.43436,48.91534,209.7944,208.9148,4516.032
108,0.9494221,0.9623773,0.1825083,22.78778,2.115356,35.49007,6.015837,13.85741,78.5014,83.43606,48.91447,209.7893,208.9094,4516.023
109,0.9497555,0.9624692,0.1825181,22.78875,2.115347,35.48857,6.015667,13.85712,78.49716,83.43719,48.91312,209.7841,208.9044,4516.014
110,0.9501166,0.9625353,0.1825198,22.78952,2.115366,35.48708,6.015529,13.85687,78.49268,83.4377,48.91132,209.7789,208.8999,4516.003
111,0.9505059,0.962575,0.1825136,22.79008,2.115414,35.48564,6.015415,13.85665,78.48799,83.43762,48.90902,209.7736,208.896,4515.993
112,0.9509215,0.962588,0.1824995,22.79044,2.11549,35.48426,6.015327,13.85645,78.48314,83.43696,48.90627,209.7686,208.8926,4515.985
113,0.9513604,0.9625743,0.1824777,22.79059,2.115595,35.48294,6.01526,13.85628,78.4782,83.43572,48.90306,209.7638,208.8897,4515.975
114,0.9518232,0.9625341,0.1824484,22.79054,2.115731,35.48169,6.015214,13.85613,78.47316,83.43392,48.89943,209.7593,208.8874,4515.965
115,0.9523081,0.9624668,0.1824118,22.79031,2.115897,35.48051,6.015183,13.85601,78.46816,83.43156,48.89536,209.7552,208.8856,4515.956
116,0.952814,0.9623733,0.1823683,22.78988,2.116092,35.47942,6.015166,13.85591,78.4632,83.42863,48.8909,209.7515,208.8844,4515.948
117,0.9533361,0.9622539,0.1823178,22.78927,2.116317,35.47844,6.015163,13.85582,78.45829,83.42522,48.88602,209.7482,208.8837,4515.94
118,0.9538727,0.9621087,0.1822609,22.78849,2.11657,35.47754,6.015169,13.85576,78.45352,83.42133,48.88078,209.7456,208.8837,4515.932
119,0.9544189,0.9619389,0.1821977,22.78753,2.11685,35.47675,6.015184,13.85572,78.44891,83.41698,48.87521,209.7435,208.8842,4515.925
120,0.9549757,0.9617452,0.1821287,22.78642,2.117157,35.47607,6.015206,13.8557,78.4445,83.41217,48.86932,209.742,208.8853,4515.917
121,0.9555383,0.9615287,0.1820543,22.78516,2.11749,35.47551,6.015236,13.8557,78.44035,83.407,48.86313,209.7411,208.8869,4515.91
122,0.9561062,0.9612905,0.1819747,22.78377,2.117846,35.47506,6.015274,13.85571,78.43642,83.40142,48.85667,209.7408,208.8891,4515.903
123,0.9566763,0.9610318,0.1818905,22.78226,2.118226,35.47474,6.015315,13.85575,78.43282,83.3955,48.84998,209.741,208.8918,4515.897
124,0.9572456,0.9607539,0.1818019,22.78064,2.118627,35.47452,6.015362,13.8558,78.42949,83.38933,48.84309,209.7419,208.8949,4515.892
125,0.9578089,0.9604586,0.1817094,22.77892,2.119047,35.47444,6.015416,13.85588,78.42652,83.38287,48.83606,209.7434,208.8987,4515.885
126,0.9583663,0.9601469,0.1816135,22.77712,2.119484,35.47446,6.015476,13.85597,78.42381,83.37621,48.82885,209.7454,208.9028,4515.88
127,0.9589167,0.9598208,0.1815147,22.77526,2.119936,35.47461,6.015543,13.85608,78.42147,83.36931,48.82156,209.7479,208.9074,4515.874
128,0.9594599,0.9594819,0.1814132,22.77336,2.120404,35.47486,6.015618,13.85622,78.41948,83.36228,48.81419,209.7509,208.9124,4515.867
129,0.9599876,0.9591317,0.1813094,22.77141,2.120881,35.47523,6.015703,13.85637,78.41783,83.35513,48.80681,209.7543,208.9178,4515.859
130,0.9605018,0.9587718,0.1812039,22.76944,2.121368,35.47572,6.015794,13.85655,78.41648,83.34789,48.79941,209.7581,208.9236,4515.855
131,0.9610039,0.9584039,0.1810971,22.76747,2.121863,35.47631,6.0159,13.85674,78.41547,83.34064,48.79205,209.7621,208.9298,4515.848
132,0.9614849,0.9580293,0.1809892,22.76549,2.122363,35.47699,6.016018,13.85696,78.41479,83.33334,48.78476,209.7664,208.9361,4515.841
133,0.961946,0.9576499,0.1808807,22.76353,2.122864,35.47777,6.016149,13.8572,78.41439,83.32607,48.77755,209.7709,208.9428,4515.833
134,0.9623906,0.9572672,0.180772,22.76161,2.123368,35.47865,6.016294,13.85747,78.41429,83.31885,48.77047,209.7756,208.9496,4515.825
135,0.9628128,0.9568829,0.1806633,22.75971,2.12387,35.47962,6.016455,13.85775,78.41441,83.31172,48.76353,209.7803,208.9566,4515.817
136,0.9632092,0.9564978,0.1805551,22.75786,2.124367,35.48065,6.016633,13.85806,78.4148,83.30467,48.75677,209.785,208.9638,4515.808
137,0.9635782,0.9561141,0.1804476,22.75606,2.124858,35.48176,6.016828,13.8584,78.41537,83.29777,48.75022,209.7898,208.9711,4515.799
138,0.9639214,0.9557327,0.1803412,22.75431,2.125341,35.48295,6.017042,13.85875,78.41615,83.29102,48.74386,209.7944,208.9785,4515.79
139,0.9642364,0.955355,0.1802361,22.75263,2.125814,35.4842,6.017277,13.85913,78.4171,83.28444,48.73776,209.799,208.9859,4515.779
140,0.9645247,0.9549827,0.1801327,22.75101,2.126275,35.4855,6.017529,13.85952,78.41821,83.27805,48.73192,209.8034,208.9934,4515.769
141,0.9647857,0.9546164,0.1800312,22.74948,2.126724,35.48684,6.017802,13.85994,78.41942,83.2719,48.72632,209.8075,209.0008,4515.757
142,0.9650193,0.954257,0.1799317,22.74802,2.127157,35.48823,6.018098,13.86037,78.42074,83.26595,48.72102,209.8114,209.0082,4515.746
143,0.9652228,0.9539058,0.1798345,22.74664,2.127574,35.48967,6.018411,13.86083,78.42214,83.26026,48.71601,209.815,209.0154,4515.735
144,0.9653937,0.9535632,0.1797398,22.74533,2.127972,35.49113,6.018743,13.8613,78.42358,83.2548,48.71129,209.8183,209.0225,4515.722
145,0.9655358,0.9532308,0.179648,22.7441,2.128351,35.49261,6.019095,13.86179,78.42505,83.24965,48.70691,209.8214,209.0296,4515.71
146,0.9656479,0.9529086,0.1795589,22.74294,2.12871,35.49413,6.019464,13.86229,78.42654,83.24472,48.70284,209.824,209.0364,4515.697
147,0.9657302,0.952598,0.179473,22.74186,2.129048,35.49566,6.019853,13.8628,78.42805,83.2401,48.69907,209.8264,209.0431,4515.685
148,0.9657836,0.9522992,0.1793902,22.74087,2.129365,35.4972,6.020256,13.86333,78.42954,83.23575,48.69563,209.8283,209.0495,4515.673
149,0.9658079,0.9520125,0.1793108,22.73995,2.129658,35.49874,6.020674,13.86385,78.43099,83.23169,48.69253,209.8299,209.0558,4515.66
150,0.9658028,0.9517387,0.1792348,22.7391,2.129929,35.50029,6.021106,13.86439,78.43238,83.22793,48.68973,209.8311,209.0618,4515.647
151,0.96577,0.9514778,0.1791623,22.73832,2.130176,35.50183,6.021549,13.86493,78.43372,83.22446,48.68725,209.832,209.0676,4515.636
152,0.9657118,0.9512304,0.1790934,22.73761,2.130401,35.50337,6.022001,13.86548,78.43504,83.22127,48.68508,209.8326,209.0731,4515.624
153,0.9656273,0.9509961,0.1790283,22.73696,2.130602,35.5049,6.022462,13.86602,78.43628,83.21837,48.68322,209.8328,209.0782,4515.611
154,0.9655172,0.9507755,0.1789668,22.73638,2.130779,35.5064,6.022929,13.86656,78.43743,83.21575,48.68166,209.8327,209.0832,4515.6
155,0.9653831,0.9505685,0.1789091,22.73586,2.130934,35.5079,6.023399,13.8671,78.43852,83.21341,48.6804,209.8324,209.0878,4515.589
156,0.9652269,0.9503758,0.1788553,22.7354,2.131065,35.50938,6.023872,13.86763,78.43958,83.21138,48.67941,209.8319,209.0922,4515.579
157,0.9650499,0.9501963,0.1788053,22.73499,2.131176,35.51082,6.024344,13.86815,78.44052,83.20961,48.67871,209.8311,209.0962,4515.57
158,0.9648517,0.9500303,0.178759,22.73464,2.131263,35.51226,6.024813,13.86866,78.44144,83.20811,48.67828,209.8301,209.0999,4515.561
159,0.9646347,0.9498777,0.1787166,22.73433,2.13133,35.51365,6.025275,13.86916,78.44227,83.20689,48.6781,209.8289,209.1033,4515.553
160,0.9643999,0.9497386,0.1786781,22.73408,2.131376,35.51503,6.025733,13.86964,78.44304,83.20591,48.67815,209.8276,209.1065,4515.544
161,0.9641498,0.9496123,0.1786433,22.73387,2.131402,35.51635,6.026179,13.87011,78.44374,83.20518,48.67846,209.8261,209.1093,4515.538
162,0.9638853,0.9494991,0.1786122,22.73371,2.13141,35.51766,6.026617,13.87056,78.44441,83.20471,48.67898,209.8246,209.1118,4515.532
163,0.9636072,0.949398,0.1785849,22.7336,2.131401,35.51892,6.027041,13.87099,78.44505,83.20449,48.67972,209.823,209.114,4515.526
164,0.9633173,0.9493094,0.1785612,22.73353,2.131373,35.52014,6.02745,13.8714,78.44563,83.20446,48.68065,209.8212,209.116,4515.522
